date;batterie;temperature;rD;gD;bD;uD;rB;gB;bB;uB;rR;gR;bR;uR;rG;gG;bG;uB;rUV;gUV;bUV;uUV;cond_current;cond_voltage;pression;background;Gpure;channel1;channel2;channel3;channel4
15/08/2025 18:58;4.14;6.5;6;5;4;13;13;143;406;523;436;30;57;466;40;215;79;315;0;0;0;0;0;0;0;2.913043478;4;-0.323949382;9.0171;9.000658024;-3.769433504
15/08/2025 19:13;4.11;4.44;6;5;4;15;13;138;393;507;423;30;56;454;41;217;80;318;0;0;0;0;0;0;0;2.92481203;3.333333333;-0.27023136;8.74449;9.27028865;-3.769433504
15/08/2025 19:28;4.1;3.5;4;4;3;10;11;135;389;499;411;28;53;439;40;220;80;321;0;0;0;0;0;0;0;2.946564885;2.333333333;-0.189449171;8.53479;9.540199584;-2.828666346
15/08/2025 19:43;4.1;3.13;3;2;2;7;9;132;383;489;406;26;52;432;38;221;80;319;0;0;0;0;0;0;0;2.930769231;3;-0.243331318;8.45091;9.27028865;-1.886838376
15/08/2025 19:58;4.13;2.94;2;2;1;5;8;131;384;488;400;25;50;424;38;226;81;324;0;0;0;0;0;0;0;2.968992248;1.333333333;-0.108420794;8.34606;9.540199584;-0.943949594
15/08/2025 20:13;3.95;2.81;2;1;1;5;8;132;387;493;400;25;50;424;40;236;85;341;0;0;0;0;0;0;0;2.946564885;2.333333333;-0.189449171;8.34606;10.08086238;-0.943949594
15/08/2025 20:28;4.1;2.81;1;0;0;2;7;131;390;495;398;24;49;421;39;238;85;343;0;0;0;0;0;0;0;2.977099237;1;-0.081356627;8.32509;10.08086238;0
15/08/2025 20:43;4.14;2.75;0;0;0;0;6;133;397;504;403;24;49;424;39;243;87;350;0;0;0;0;0;0;0;2.984962406;0.666666667;-0.054265105;8.45091;10.35161423;0
15/08/2025 20:58;4.05;2.75;0;0;0;0;6;136;407;518;403;24;49;424;40;251;90;361;0;0;0;0;0;0;0;2.992647059;0.333333333;-0.02714623;8.45091;10.6226464;0
15/08/2025 21:13;4.05;2.75;0;0;0;0;6;137;409;519;404;24;49;425;42;260;93;374;0;0;0;0;0;0;0;2.98540146;0.666666667;-0.054265105;8.47188;11.16555166;0
15/08/2025 21:28;4.1;2.69;0;0;0;0;7;137;412;525;409;24;49;431;41;258;92;371;0;0;0;0;0;0;0;3.00729927;-0.333333333;0.027173584;8.57673;10.89395887;0
15/08/2025 21:43;4.05;2.69;0;0;0;0;7;142;426;539;416;24;50;437;43;267;95;383;0;0;0;0;0;0;0;3;0;0;8.72352;11.43742475;0
