date;batterie;temperature;rD;gD;bD;uD;rB;gB;bB;uB;rR;gR;bR;uR;rG;gG;bG;uB;rUV;gUV;bUV;uUV;cond_current;cond_voltage;pression;background;Gpure;channel1;channel2;channel3;channel4
15/08/2025 18:06;4.05;21.94;0;0;0;0;194;1620;5576;7232;62954;2707;6591;65288;0;0;0;0;0;0;0;0;0;0;0;3.441975309;-238.6666667;26.458135;1320.14538;0;0
15/08/2025 18:21;4.05;17.63;0;0;0;1;19;383;1235;1614;996;45;105;1052;0;0;0;0;0;0;0;0;0;0;0;3.224543081;-28.66666667;2.43690774;20.88612;0;0
15/08/2025 18:36;4.19;15;0;0;1;1;15;289;928;1212;821;37;86;869;0;0;0;0;0;0;0;0;0;0;0;3.207612457;-20;1.678831932;17.21637;0;-0.943949594
15/08/2025 18:51;4.11;13.88;0;0;0;1;13;236;753;983;690;32;73;732;0;0;0;0;0;0;0;0;0;0;0;3.190677966;-15;1.249891914;14.4693;0;0
15/08/2025 19:06;4.1;13.19;0;0;0;1;11;204;649;846;665;31;70;707;0;0;0;0;0;0;0;0;0;0;0;3.181372549;-12.33333333;1.023640489;13.94505;0;0
15/08/2025 19:21;4.07;12.69;0;0;0;1;11;194;616;805;630;29;67;670;0;0;0;0;0;0;0;0;0;0;0;3.175257732;-11.33333333;0.939247548;13.2111;0;0
15/08/2025 19:36;4.1;12.38;0;0;0;1;11;189;599;781;631;29;67;671;0;0;0;0;0;0;0;0;0;0;0;3.169312169;-10.66666667;0.883122359;13.23207;0;0
15/08/2025 19:51;4.07;12.13;0;0;0;0;10;190;603;786;636;29;67;676;0;0;0;0;0;0;0;0;0;0;0;3.173684211;-11;0.911171276;13.33692;0;0
15/08/2025 20:06;4.05;11.81;0;0;0;0;10;186;589;767;640;29;67;681;0;0;0;0;0;0;0;0;0;0;0;3.166666667;-10.33333333;0.855100795;13.4208;0;0
15/08/2025 20:21;4.23;11.5;0;0;0;0;10;183;580;756;635;29;67;676;0;0;0;0;0;0;0;0;0;0;0;3.169398907;-10.33333333;0.855100795;13.31595;0;0
15/08/2025 20:36;4.11;11.13;0;0;0;0;10;180;572;745;626;28;66;666;0;0;0;0;0;0;0;0;0;0;0;3.177777778;-10.66666667;0.883122359;13.12722;0;0
15/08/2025 20:51;4.03;10.88;0;0;0;0;10;181;576;749;627;28;66;666;0;0;0;0;0;0;0;0;0;0;0;3.182320442;-11;0.911171276;13.14819;0;0
15/08/2025 21:06;4.17;10.63;0;0;0;0;9;182;577;752;631;28;66;670;0;0;0;0;0;0;0;0;0;0;0;3.17032967;-10.33333333;0.855100795;13.23207;0;0
15/08/2025 21:21;4.05;10.31;0;0;0;0;10;183;583;760;637;29;67;678;0;0;0;0;0;0;0;0;0;0;0;3.18579235;-11.33333333;0.939247548;13.35789;0;0
15/08/2025 21:36;4.07;10.06;0;0;0;0;10;183;584;761;637;29;66;677;0;0;0;0;0;0;0;0;0;0;0;3.191256831;-11.66666667;0.967351174;13.35789;0;0
15/08/2025 21:51;4.06;9.88;0;0;0;0;10;182;580;756;635;29;66;675;0;0;0;0;0;0;0;0;0;0;0;3.186813187;-11.33333333;0.939247548;13.31595;0;0
15/08/2025 22:06;4.1;9.63;0;0;0;0;9;180;573;748;622;28;65;662;0;0;0;0;0;0;0;0;0;0;0;3.183333333;-11;0.911171276;13.04334;0;0
15/08/2025 22:21;4.03;9.5;0;0;0;0;9;179;569;741;610;28;64;648;0;0;0;0;0;0;0;0;0;0;0;3.17877095;-10.66666667;0.883122359;12.7917;0;0
15/08/2025 22:36;4.05;9.31;0;0;0;0;9;180;573;746;614;28;64;653;0;0;0;0;0;0;0;0;0;0;0;3.183333333;-11;0.911171276;12.87558;0;0
15/08/2025 22:51;4.06;9.13;0;0;0;0;9;178;568;741;609;27;63;648;0;0;0;0;0;0;0;0;0;0;0;3.191011236;-11.33333333;0.939247548;12.77073;0;0
15/08/2025 23:06;4.13;8.94;0;0;0;0;9;177;563;734;610;28;64;649;0;0;0;0;0;0;0;0;0;0;0;3.18079096;-10.66666667;0.883122359;12.7917;0;0
15/08/2025 23:21;4.03;8.81;0;0;0;0;9;180;572;747;617;28;64;656;0;0;0;0;0;0;0;0;0;0;0;3.177777778;-10.66666667;0.883122359;12.93849;0;0
15/08/2025 23:36;4.05;8.69;0;0;0;0;9;181;577;752;618;28;64;657;0;0;0;0;0;0;0;0;0;0;0;3.187845304;-11.33333333;0.939247548;12.95946;0;0
15/08/2025 23:51;4.13;8.56;0;0;0;0;9;175;558;727;612;28;64;651;0;0;0;0;0;0;0;0;0;0;0;3.188571429;-11;0.911171276;12.83364;0;0
16/08/2025 00:06;4.11;8.44;0;0;0;0;9;175;559;728;603;27;63;641;0;0;0;0;0;0;0;0;0;0;0;3.194285714;-11.33333333;0.939247548;12.64491;0;0
16/08/2025 00:21;4.17;8.38;0;0;0;0;9;176;561;732;615;28;64;654;0;0;0;0;0;0;0;0;0;0;0;3.1875;-11;0.911171276;12.89655;0;0
