POSTE;DATE;RR;QRR;DRR;QDRR;TN;QTN;HTN;QHTN;TX;QTX;HTX;QHTX;TM;QTM;TMNX;QTMNX;TNSOL;QTNSOL;TN50;QTN50;DG;QDG;TAMPLI;QTAMPLI;TNTXM;QTNTXM;PMERM;QPMERM;PMERMIN;QPMERMIN;FFM;QFFM;FXI;QFXI;DXI;QDXI;HXI;QHXI;FXY;QFXY;DXY;QDXY;HXY;QHXY;FF2M;QFF2M;FXI2;QFXI2;DXI2;QDXI2;HXI2;QHXI2;FXI3S;QFXI3S;DXI3S;QDXI3S;HXI3S;QHXI3S;UN;QUN;HUN;QHUN;UX;QUX;HUX;QHUX;DHUMI40;QDHUMI40;DHUMI80;QDHUMI80;TSVM;QTSVM;DHUMEC;QDHUMEC;UM;QUM;INST;QINST;GLOT;QGLOT;DIFT;QDIFT;DIRT;QDIRT;SIGMA;QSIGMA;INFRART;QINFRART;UV_INDICEX;QUV_INDICEX;NB300;QNB300;BA300;QBA300;NEIG;QNEIG;BROU;QBROU;ORAG;QORAG;GRESIL;QGRESIL;GRELE;QGRELE;ROSEE;QROSEE;VERGLAS;QVERGLAS;SOLNEIGE;QSOLNEIGE;GELEE;QGELEE;FUMEE;QFUMEE;BRUME;QBRUME;ECLAIR;QECLAIR;ETPMON;QETPMON;ETPGRILLE;QETPGRILLE;UV;QUV;TMERMAX;QTMERMAX;TMERMIN;QTMERMIN;HNEIGEF;QHNEIGEF;NEIGETOTX;QNEIGETOTX;NEIGETOT06;QNEIGETOT06
73296005;20230101;0,0;1;;;0,7;1;834;9;6,1;1;1306;9;3,2;1;3,40;1;;;;;0;9;5,4;1;3,4;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;40;1;2359;9;75;1;213;9;1;9;0;9;4,8;9;;;63;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,4;9;;;;;;;;;54;1;53;1
73296005;20230102;0,4;1;;;-1,5;1;1726;9;5,1;1;1203;9;0,7;1;1,80;1;;;;;593;9;6,6;1;1,8;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;36;1;7;9;87;1;2300;9;35;9;191;9;4,0;9;;;64;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,3;9;;;;;;;;;54;1;52;1
73296005;20230103;0,3;1;;;-2,5;1;1827;9;2,6;1;1341;9;-1,4;1;0,05;1;;;;;1125;9;5,1;1;0,1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;66;1;2130;9;98;1;811;9;0;9;1185;9;4,9;9;;;87;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,5;9;;;;;;;;;53;1;50;1
73296005;20230104;0,0;1;;;-8,6;1;449;9;2,9;1;1231;9;-4,6;1;-2,85;1;;;;;1248;9;11,5;1;-2,9;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;30;1;1134;9;81;1;10;9;97;9;6;9;2,6;9;;;61;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,1;9;;;;;;;;;53;1;53;1
73296005;20230105;0,0;1;;;-5,8;1;2236;9;4,8;1;1300;9;-2,0;1;-0,50;1;;;;;1173;9;10,6;1;-0,5;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;45;1;2358;9;86;1;1606;9;0;9;126;9;3,7;9;;;68;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,8;9;;;;;;;;;53;1;52;1
73296005;20230106;0,0;1;;;-5,6;1;626;9;6,1;1;1200;9;-1,1;1;0,25;1;;;;;1164;9;11,7;1;0,3;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;33;1;136;9;65;1;638;9;217;9;0;9;2,8;9;;;50;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,4;9;;;;;;;;;53;1;51;1
73296005;20230107;0,0;1;;;-3,6;1;350;9;4,6;1;1144;9;-0,5;1;0,50;1;;;;;918;9;8,2;1;0,5;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;32;1;2332;9;60;1;1;9;167;9;0;9;2,8;9;;;47;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,6;9;;;;;;;;;53;1;52;1
73296005;20230108;12,4;1;;;-4,2;1;2013;9;2,2;1;2128;9;-0,3;1;-1,00;1;;;;;894;9;6,4;1;-1,0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;34;1;15;9;98;1;1608;9;128;9;820;9;4,6;9;;;77;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,7;9;;;;;;;;;59;1;51;1
73296005;20230109;9,2;1;;;-7,1;1;1800;9;-4,9;1;1300;9;-5,5;1;-6,00;1;;;;;1406;9;2,2;1;-6,0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;61;1;1625;9;97;1;143;9;0;9;547;9;3,2;9;;;79;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,5;9;;;;;;;;;93;1;79;1
73296005;20230110;0,1;1;;;-11,4;1;1023;9;-3,7;1;1949;9;-7,2;1;-7,55;1;;;;;1440;9;7,7;1;-7,6;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;42;1;1825;9;93;1;923;9;0;9;179;9;2,4;9;;;69;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,6;9;;;;;;;;;92;1;88;1
