"Titre de tracé :  21745240"
"#","Date Heure, GMT+02:00","Temp., °C (LGR S/N: 21745240, SEN S/N: 21745240, LBL:  Petite Balme 4)","Coupleur détaché (LGR S/N: 21745240)","Coupleur attaché (LGR S/N: 21745240)","Hôte connecté (LGR S/N: 21745240)","Arrêté (LGR S/N: 21745240)","Fin de fichier (LGR S/N: 21745240)"
1,08/18/24 04:15:14 PM,24.835,,,,,
2,08/18/24 04:32:33 PM,,Enregistré,,,,
3,08/18/24 05:15:14 PM,23.581,,,,,
4,08/18/24 06:15:14 PM,23.292,,,,,
5,08/18/24 07:15:14 PM,20.424,,,,,
6,08/18/24 08:15:14 PM,19.282,,,,,
7,08/18/24 09:15:14 PM,18.426,,,,,
8,08/18/24 10:15:14 PM,17.760,,,,,
9,08/18/24 11:15:14 PM,17.189,,,,,
10,08/19/24 12:15:14 AM,16.808,,,,,
11,08/19/24 01:15:14 AM,16.618,,,,,
12,08/19/24 02:15:14 AM,16.427,,,,,
13,08/19/24 03:15:14 AM,16.237,,,,,
14,08/19/24 04:15:14 AM,16.141,,,,,
15,08/19/24 05:15:14 AM,16.046,,,,,
16,08/19/24 06:15:14 AM,16.427,,,,,
17,08/19/24 07:15:14 AM,19.092,,,,,
18,08/19/24 08:15:14 AM,17.950,,,,,
19,08/19/24 09:15:14 AM,14.613,,,,,
20,08/19/24 10:15:14 AM,12.883,,,,,
21,08/19/24 11:15:14 AM,15.187,,,,,
22,08/19/24 12:15:14 PM,10.161,,,,,
23,08/19/24 01:15:14 PM,6.573,,,,,
24,08/19/24 02:15:14 PM,5.037,,,,,
25,08/19/24 03:15:14 PM,3.155,,,,,
26,08/19/24 04:15:14 PM,12.787,,,,,
27,08/19/24 05:15:14 PM,1.439,,,,,
28,08/19/24 06:15:14 PM,1.330,,,,,
29,08/19/24 07:15:14 PM,1.221,,,,,
30,08/19/24 08:15:14 PM,1.221,,,,,
31,08/19/24 09:15:14 PM,1.221,,,,,
32,08/19/24 10:15:14 PM,1.221,,,,,
33,08/19/24 11:15:14 PM,1.221,,,,,
34,08/20/24 12:15:14 AM,1.221,,,,,
35,08/20/24 01:15:14 AM,1.221,,,,,
36,08/20/24 02:15:14 AM,1.221,,,,,
37,08/20/24 03:15:14 AM,1.221,,,,,
38,08/20/24 04:15:14 AM,1.221,,,,,
39,08/20/24 05:15:14 AM,1.221,,,,,
40,08/20/24 06:15:14 AM,1.221,,,,,
41,08/20/24 07:15:14 AM,1.221,,,,,
42,08/20/24 08:15:14 AM,1.221,,,,,
43,08/20/24 09:15:14 AM,1.221,,,,,
44,08/20/24 10:15:14 AM,1.221,,,,,
45,08/20/24 11:15:14 AM,1.221,,,,,
46,08/20/24 12:15:14 PM,1.221,,,,,
47,08/20/24 01:15:14 PM,1.221,,,,,
48,08/20/24 02:15:14 PM,1.221,,,,,
49,08/20/24 03:15:14 PM,1.221,,,,,
50,08/20/24 04:15:14 PM,1.221,,,,,
51,08/20/24 05:15:14 PM,1.221,,,,,
52,08/20/24 06:15:14 PM,1.221,,,,,
53,08/20/24 07:15:14 PM,1.221,,,,,
54,08/20/24 08:15:14 PM,1.221,,,,,
55,08/20/24 09:15:14 PM,1.221,,,,,
56,08/20/24 10:15:14 PM,1.221,,,,,
57,08/20/24 11:15:14 PM,1.221,,,,,
58,08/21/24 12:15:14 AM,1.221,,,,,
59,08/21/24 01:15:14 AM,1.221,,,,,
