"Titre de tracé : 21745242"
"#","Date Heure, GMT+02:00","Temp., °C (LGR S/N: 21745242, SEN S/N: 21745242, LBL: Petite Balme 2)","Fin de fichier (LGR S/N: 21745242)"
1,11/06/23 12:00:00 PM,1.548,
2,11/06/23 02:00:00 PM,1.548,
3,11/06/23 04:00:00 PM,1.548,
4,11/06/23 06:00:00 PM,1.548,
5,11/06/23 08:00:00 PM,1.548,
6,11/06/23 10:00:00 PM,1.548,
7,11/07/23 12:00:00 AM,1.548,
8,11/07/23 02:00:00 AM,1.548,
9,11/07/23 04:00:00 AM,1.548,
10,11/07/23 06:00:00 AM,1.548,
11,11/07/23 08:00:00 AM,1.548,
12,11/07/23 10:00:00 AM,1.548,
13,11/07/23 12:00:00 PM,1.548,
14,11/07/23 02:00:00 PM,1.548,
15,11/07/23 04:00:00 PM,1.548,
16,11/07/23 06:00:00 PM,1.548,
17,11/07/23 08:00:00 PM,1.548,
18,11/07/23 10:00:00 PM,1.548,
19,11/08/23 12:00:00 AM,1.548,
20,11/08/23 02:00:00 AM,1.548,
21,11/08/23 04:00:00 AM,1.548,
22,11/08/23 06:00:00 AM,1.548,
23,11/08/23 08:00:00 AM,1.548,
24,11/08/23 10:00:00 AM,1.548,
25,11/08/23 12:00:00 PM,1.548,
26,11/08/23 02:00:00 PM,1.548,
27,11/08/23 04:00:00 PM,1.548,
28,11/08/23 06:00:00 PM,1.548,
29,11/08/23 08:00:00 PM,1.548,
30,11/08/23 10:00:00 PM,1.548,
31,11/09/23 12:00:00 AM,1.548,
32,11/09/23 02:00:00 AM,1.548,
33,11/09/23 04:00:00 AM,1.548,
34,11/09/23 06:00:00 AM,1.548,
35,11/09/23 08:00:00 AM,1.548,
36,11/09/23 10:00:00 AM,1.548,
37,11/09/23 12:00:00 PM,1.548,
38,11/09/23 02:00:00 PM,1.548,
39,11/09/23 04:00:00 PM,1.548,
40,11/09/23 06:00:00 PM,1.548,
41,11/09/23 08:00:00 PM,1.548,
42,11/09/23 10:00:00 PM,1.548,
43,11/10/23 12:00:00 AM,1.548,
44,11/10/23 02:00:00 AM,1.548,
45,11/10/23 04:00:00 AM,1.548,
46,11/10/23 06:00:00 AM,1.548,
47,11/10/23 08:00:00 AM,1.548,
48,11/10/23 10:00:00 AM,1.548,
49,11/10/23 12:00:00 PM,1.548,
50,11/10/23 02:00:00 PM,1.548,
51,11/10/23 04:00:00 PM,1.548,
52,11/10/23 06:00:00 PM,1.548,
53,11/10/23 08:00:00 PM,1.548,
54,11/10/23 10:00:00 PM,1.548,
55,11/11/23 12:00:00 AM,1.548,
56,11/11/23 02:00:00 AM,1.548,
57,11/11/23 04:00:00 AM,1.548,
58,11/11/23 06:00:00 AM,1.548,
59,11/11/23 08:00:00 AM,1.548,
60,11/11/23 10:00:00 AM,1.548,
61,11/11/23 12:00:00 PM,1.548,
62,11/11/23 02:00:00 PM,1.548,
63,11/11/23 04:00:00 PM,1.548,
64,11/11/23 06:00:00 PM,1.548,
65,11/11/23 08:00:00 PM,1.548,
66,11/11/23 10:00:00 PM,1.548,
67,11/12/23 12:00:00 AM,1.548,
68,11/12/23 02:00:00 AM,1.548,
69,11/12/23 04:00:00 AM,1.548,
70,11/12/23 06:00:00 AM,1.548,
71,11/12/23 08:00:00 AM,1.548,
72,11/12/23 10:00:00 AM,1.548,
73,11/12/23 12:00:00 PM,1.548,
74,11/12/23 02:00:00 PM,1.548,
75,11/12/23 04:00:00 PM,1.548,
76,11/12/23 06:00:00 PM,1.548,
77,11/12/23 08:00:00 PM,1.548,
78,11/12/23 10:00:00 PM,1.548,
79,11/13/23 12:00:00 AM,1.548,
80,11/13/23 02:00:00 AM,1.548,
81,11/13/23 04:00:00 AM,1.548,
82,11/13/23 06:00:00 AM,1.548,
83,11/13/23 08:00:00 AM,1.548,
84,11/13/23 10:00:00 AM,1.548,
85,11/13/23 12:00:00 PM,1.548,
86,11/13/23 02:00:00 PM,1.548,
87,11/13/23 04:00:00 PM,1.548,
88,11/13/23 06:00:00 PM,1.548,
89,11/13/23 08:00:00 PM,1.548,
90,11/13/23 10:00:00 PM,1.548,
91,11/14/23 12:00:00 AM,1.548,
92,11/14/23 02:00:00 AM,1.548,
