"Titre de tracé : 21745243"
"#","Date Heure, GMT+02:00","Temp., °C (LGR S/N: 21745243, SEN S/N: 21745243, LBL: Petite Balme 3 ici>)","Coupleur attaché (LGR S/N: 21745243)","Hôte connecté (LGR S/N: 21745243)","Arrêté (LGR S/N: 21745243)","Fin de fichier (LGR S/N: 21745243)"
1,11/06/23 12:00:00 PM,0.674,,,,
2,11/06/23 02:00:00 PM,0.674,,,,
3,11/06/23 04:00:00 PM,0.674,,,,
4,11/06/23 06:00:00 PM,0.674,,,,
5,11/06/23 08:00:00 PM,0.674,,,,
6,11/06/23 10:00:00 PM,0.674,,,,
7,11/07/23 12:00:00 AM,0.674,,,,
8,11/07/23 02:00:00 AM,0.674,,,,
9,11/07/23 04:00:00 AM,0.674,,,,
10,11/07/23 06:00:00 AM,0.674,,,,
11,11/07/23 08:00:00 AM,0.674,,,,
12,11/07/23 10:00:00 AM,0.674,,,,
13,11/07/23 12:00:00 PM,0.674,,,,
14,11/07/23 02:00:00 PM,0.674,,,,
15,11/07/23 04:00:00 PM,0.674,,,,
16,11/07/23 06:00:00 PM,0.674,,,,
17,11/07/23 08:00:00 PM,0.674,,,,
18,11/07/23 10:00:00 PM,0.674,,,,
19,11/08/23 12:00:00 AM,0.674,,,,
20,11/08/23 02:00:00 AM,0.674,,,,
21,11/08/23 04:00:00 AM,0.674,,,,
22,11/08/23 06:00:00 AM,0.674,,,,
23,11/08/23 08:00:00 AM,0.674,,,,
24,11/08/23 10:00:00 AM,0.674,,,,
25,11/08/23 12:00:00 PM,0.674,,,,
26,11/08/23 02:00:00 PM,0.674,,,,
27,11/08/23 04:00:00 PM,0.674,,,,
28,11/08/23 06:00:00 PM,0.674,,,,
29,11/08/23 08:00:00 PM,0.674,,,,
30,11/08/23 10:00:00 PM,0.674,,,,
31,11/09/23 12:00:00 AM,0.674,,,,
32,11/09/23 02:00:00 AM,0.674,,,,
33,11/09/23 04:00:00 AM,0.674,,,,
34,11/09/23 06:00:00 AM,0.674,,,,
35,11/09/23 08:00:00 AM,0.674,,,,
36,11/09/23 10:00:00 AM,0.674,,,,
37,11/09/23 12:00:00 PM,0.674,,,,
38,11/09/23 02:00:00 PM,0.674,,,,
39,11/09/23 04:00:00 PM,0.674,,,,
40,11/09/23 06:00:00 PM,0.674,,,,
41,11/09/23 08:00:00 PM,0.674,,,,
42,11/09/23 10:00:00 PM,0.674,,,,
43,11/10/23 12:00:00 AM,0.674,,,,
44,11/10/23 02:00:00 AM,0.674,,,,
45,11/10/23 04:00:00 AM,0.674,,,,
46,11/10/23 06:00:00 AM,0.674,,,,
47,11/10/23 08:00:00 AM,0.674,,,,
48,11/10/23 10:00:00 AM,0.784,,,,
49,11/10/23 12:00:00 PM,0.674,,,,
50,11/10/23 02:00:00 PM,0.674,,,,
51,11/10/23 04:00:00 PM,0.674,,,,
52,11/10/23 06:00:00 PM,0.784,,,,
53,11/10/23 08:00:00 PM,0.784,,,,
54,11/10/23 10:00:00 PM,0.784,,,,
55,11/11/23 12:00:00 AM,0.784,,,,
56,11/11/23 02:00:00 AM,0.784,,,,
57,11/11/23 04:00:00 AM,0.784,,,,
58,11/11/23 06:00:00 AM,0.784,,,,
59,11/11/23 08:00:00 AM,0.784,,,,
60,11/11/23 10:00:00 AM,0.784,,,,
61,11/11/23 12:00:00 PM,0.784,,,,
62,11/11/23 02:00:00 PM,0.784,,,,
63,11/11/23 04:00:00 PM,0.784,,,,
64,11/11/23 06:00:00 PM,0.784,,,,
65,11/11/23 08:00:00 PM,0.784,,,,
66,11/11/23 10:00:00 PM,0.784,,,,
67,11/12/23 12:00:00 AM,0.784,,,,
68,11/12/23 02:00:00 AM,0.784,,,,
69,11/12/23 04:00:00 AM,0.784,,,,
70,11/12/23 06:00:00 AM,0.784,,,,
71,11/12/23 08:00:00 AM,0.784,,,,
72,11/12/23 10:00:00 AM,0.784,,,,
73,11/12/23 12:00:00 PM,0.784,,,,
74,11/12/23 02:00:00 PM,0.784,,,,
75,11/12/23 04:00:00 PM,0.784,,,,
76,11/12/23 06:00:00 PM,0.784,,,,
77,11/12/23 08:00:00 PM,0.784,,,,
78,11/12/23 10:00:00 PM,0.784,,,,
79,11/13/23 12:00:00 AM,0.784,,,,
80,11/13/23 02:00:00 AM,0.784,,,,
81,11/13/23 04:00:00 AM,0.784,,,,
82,11/13/23 06:00:00 AM,0.784,,,,
83,11/13/23 08:00:00 AM,0.784,,,,
84,11/13/23 10:00:00 AM,0.784,,,,
85,11/13/23 12:00:00 PM,0.784,,,,
86,11/13/23 02:00:00 PM,0.784,,,,
87,11/13/23 04:00:00 PM,0.784,,,,
88,11/13/23 06:00:00 PM,0.784,,,,
89,11/13/23 08:00:00 PM,0.784,,,,
90,11/13/23 10:00:00 PM,0.784,,,,
91,11/14/23 12:00:00 AM,0.784,,,,
92,11/14/23 02:00:00 AM,0.784,,,,
93,11/14/23 04:00:00 AM,0.784,,,,
94,11/14/23 06:00:00 AM,0.784,,,,
95,11/14/23 08:00:00 AM,0.784,,,,
96,11/14/23 10:00:00 AM,0.893,,,,
97,11/14/23 12:00:00 PM,1.003,,,,
98,11/14/23 02:00:00 PM,0.893,,,,
99,11/14/23 04:00:00 PM,0.893,,,,
100,11/14/23 06:00:00 PM,1.003,,,,
101,11/14/23 08:00:00 PM,1.003,,,,
102,11/14/23 10:00:00 PM,1.003,,,,
103,11/15/23 12:00:00 AM,1.003,,,,
104,11/15/23 02:00:00 AM,1.003,,,,
105,11/15/23 04:00:00 AM,1.003,,,,
106,11/15/23 06:00:00 AM,0.893,,,,
107,11/15/23 08:00:00 AM,0.893,,,,
108,11/15/23 10:00:00 AM,0.893,,,,
109,11/15/23 12:00:00 PM,0.893,,,,
110,11/15/23 02:00:00 PM,0.893,,,,
111,11/15/23 04:00:00 PM,0.893,,,,
112,11/15/23 06:00:00 PM,0.893,,,,
113,11/15/23 08:00:00 PM,0.893,,,,
114,11/15/23 10:00:00 PM,0.893,,,,
115,11/16/23 12:00:00 AM,0.893,,,,
116,11/16/23 02:00:00 AM,0.893,,,,
117,11/16/23 04:00:00 AM,0.893,,,,
118,11/16/23 06:00:00 AM,0.784,,,,
119,11/16/23 08:00:00 AM,0.784,,,,
120,11/16/23 10:00:00 AM,0.784,,,,
121,11/16/23 12:00:00 PM,0.893,,,,
122,11/16/23 02:00:00 PM,0.893,,,,
123,11/16/23 04:00:00 PM,0.893,,,,
124,11/16/23 06:00:00 PM,0.784,,,,
125,11/16/23 08:00:00 PM,0.893,,,,
126,11/16/23 10:00:00 PM,0.893,,,,
127,11/17/23 12:00:00 AM,0.893,,,,
128,11/17/23 02:00:00 AM,0.893,,,,
129,11/17/23 04:00:00 AM,0.893,,,,
130,11/17/23 06:00:00 AM,0.893,,,,
131,11/17/23 08:00:00 AM,0.893,,,,
132,11/17/23 10:00:00 AM,0.893,,,,
